21:44:55 - asd move to the (2,1) position.
21:44:56 - asd set default the (2,5) position.
21:44:58 - fds move to the (2,6) position.
21:44:59 - fds set default the (3,3) position.
21:45:01 - asd move to the (3,2) position.
21:45:02 - asd set default the (4,3) position.
21:45:04 - fds move to the (1,5) position.
21:45:05 - fds set default the (2,4) position.
21:45:07 - asd move to the (2,3) position.
21:45:08 - asd set default the (1,4) position.
21:45:10 - fds move to the (1,6) position.
21:45:11 - fds set default the (2,6) position.
21:45:12 - asd move to the (3,4) position.
21:45:13 - asd set default the (1,5) position.
21:45:13 - asd win the game in 7 steps.
